48274|2016-04-03|24.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48275|2016-04-10|23.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48276|2016-04-17|41.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48277|2016-04-24|21.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48278|2016-05-01|19.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48279|2016-05-08|11.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48280|2016-05-15|15.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48281|2016-05-22|14.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48282|2016-05-29|7.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48283|2016-06-05|10.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48284|2016-06-12|7.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48285|2016-06-19|6.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48286|2016-06-26|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48287|2016-07-03|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48288|2016-07-10|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48289|2016-07-17|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48290|2016-07-24|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48291|2016-07-31|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48292|2016-08-07|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48293|2016-08-14|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48294|2016-08-21|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48295|2016-08-28|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48296|2016-09-04|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48297|2016-09-11|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48298|2016-09-18|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48299|2016-09-25|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48300|2016-10-02|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48301|2016-10-09|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48302|2016-10-16|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48303|2016-10-23|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48304|2016-10-30|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48305|2016-11-06|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48306|2016-11-13|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48307|2016-11-20|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48308|2016-11-27|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48309|2016-12-04|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48310|2016-12-11|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48311|2016-12-18|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48312|2016-12-25|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48313|2017-01-01|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48314|2017-01-08|3.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48315|2017-01-15|6.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48316|2017-01-22|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48317|2017-01-29|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48318|2017-02-05|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48319|2017-02-12|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48320|2017-02-19|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48321|2017-02-26|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48322|2017-03-05|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48323|2017-03-12|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48324|2017-03-19|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48325|2017-03-26|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48326|2017-04-02|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48327|2017-04-09|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48328|2017-04-16|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48329|2017-04-23|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48330|2017-04-30|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48331|2017-05-07|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48332|2017-05-14|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48333|2017-05-21|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48334|2017-05-28|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48335|2017-06-04|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48336|2017-06-11|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48337|2017-06-18|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48338|2017-06-25|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48339|2017-07-02|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48340|2017-07-09|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48341|2017-07-16|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48342|2017-07-23|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48343|2017-07-30|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48344|2017-08-06|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48345|2017-08-13|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48346|2017-08-20|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48347|2017-08-27|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48348|2017-09-03|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48349|2017-09-10|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48350|2017-09-17|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48351|2017-09-24|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48352|2017-10-01|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48353|2017-10-08|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48354|2017-10-15|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48355|2017-10-22|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48356|2017-10-29|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48357|2017-11-05|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48358|2017-11-12|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48359|2017-11-19|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48360|2017-11-26|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48361|2017-12-03|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48362|2017-12-10|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48363|2017-12-17|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48364|2017-12-24|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48365|2017-12-31|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48366|2018-01-07|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48367|2018-01-14|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48368|2018-01-21|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48369|2018-01-28|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48370|2018-02-04|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48371|2018-02-11|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48372|2018-02-18|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48373|2018-02-25|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48374|2018-03-04|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48375|2018-03-11|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48376|2018-03-18|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48377|2018-03-25|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48378|2018-04-01|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48379|2018-04-04|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48380|2018-04-15|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48381|2018-04-22|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48382|2018-04-29|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48383|2018-05-06|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48384|2018-05-13|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48385|2018-05-20|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48386|2018-05-27|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48387|2018-06-03|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48388|2018-06-10|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48389|2018-06-17|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48390|2018-06-24|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48391|2018-07-01|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48392|2018-07-08|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48393|2018-07-15|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48394|2018-07-22|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48395|2018-07-29|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48396|2018-08-05|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48397|2018-08-12|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48398|2018-08-19|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48399|2018-08-26|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48400|2018-09-02|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48401|2018-09-09|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48402|2018-09-16|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48403|2018-09-23|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48404|2018-09-30|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48405|2018-10-07|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48406|2018-10-14|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48407|2018-10-21|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48408|2018-10-28|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48409|2018-11-04|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48410|2018-11-11|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48411|2018-11-18|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48412|2018-11-25|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48413|2018-12-02|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48414|2018-12-09|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48415|2018-12-16|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48416|2018-12-23|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48417|2018-12-30|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48418|2019-01-06|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48419|2019-01-13|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48420|2019-01-20|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48421|2019-01-27|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48422|2019-02-03|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48423|2019-02-10|3.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48424|2019-02-17|9.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48425|2019-02-24|8.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48426|2019-03-03|6.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48427|2019-03-10|12.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48428|2019-03-17|12.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48429|2019-03-24|16.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48430|2019-03-31|22.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48431|2019-04-07|41.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48432|2019-04-14|43.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48433|2019-04-21|91.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48434|2019-04-28|115.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48435|2019-05-05|84.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48436|2019-05-12|75.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48437|2019-05-19|59.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48438|2019-05-26|35.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48439|2019-06-02|24.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48440|2019-06-09|17.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48441|2019-06-16|7.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48442|2019-06-23|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48443|2019-06-30|5.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48444|2019-07-07|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48445|2019-07-14|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48446|2019-07-21|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48447|2019-07-28|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48448|2019-08-04|2.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48449|2019-08-11|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48450|2019-08-18|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48451|2019-08-25|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48452|2019-09-01|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48453|2019-09-08|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48454|2019-09-15|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48455|2019-09-22|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48456|2019-09-29|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48457|2019-10-06|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48458|2019-10-13|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48459|2019-10-20|1.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48460|2019-10-27|0.0|310020|Abaeté|MG|35620-000|-19.111|-45.4305
48461|2019-11-03||310020|Abaeté|MG|35620-000|-19.111|-45.4305
48462|2019-11-10||310020|Abaeté|MG|35620-000|-19.111|-45.4305
48463|2019-11-17||310020|Abaeté|MG|35620-000|-19.111|-45.4305
48464|2019-11-24||310020|Abaeté|MG|35620-000|-19.111|-45.4305
48465|2019-12-01||310020|Abaeté|MG|35620-000|-19.111|-45.4305
48466|2019-12-08||310020|Abaeté|MG|35620-000|-19.111|-45.4305
48467|2019-12-15||310020|Abaeté|MG|35620-000|-19.111|-45.4305
48468|2019-12-22||310020|Abaeté|MG|35620-000|-19.111|-45.4305
48469|2019-12-29||310020|Abaeté|MG|35620-000|-19.111|-45.4305
48470|2014-12-28|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48471|2015-01-04|2.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48472|2015-01-11|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48473|2015-01-18|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48474|2015-01-25|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48475|2015-02-01|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48476|2015-02-08|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48477|2015-02-15|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48478|2015-02-22|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48479|2015-03-01|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48480|2015-03-08|1.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48481|2015-03-15|1.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48482|2015-03-22|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48483|2015-03-29|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48484|2015-04-05|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48485|2015-04-12|1.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48486|2015-04-19|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48487|2015-04-26|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48488|2015-05-03|1.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48489|2015-05-10|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48490|2015-05-17|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48491|2015-05-24|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48492|2015-05-31|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48493|2015-06-07|1.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48494|2015-06-14|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48495|2015-06-21|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48496|2015-06-28|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48497|2015-07-05|2.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48498|2015-07-12|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48499|2015-07-19|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48500|2015-07-26|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48501|2015-08-02|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48502|2015-08-09|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48503|2015-08-16|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48504|2015-08-23|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48505|2015-08-30|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48506|2015-09-06|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
48507|2015-09-13|0.0|310320|Araçaí|MG|35777-000|-19.242|-44.2243
